feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S6.mzML:area,datafile:pos_hela_S5.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S6.mzML:area,datafile:neg_hela_S5.mzML:area
P1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.36999999999999966,0.509600000000006,0.0005164195406247514,0.0005164195406247514,All,All,0.0,0.0,0.0,0.0,0.0,2663.1080101295624,4730.466643712361,0.0,5004.768072859879,4307.4626865671635,3923.1650197483373,4320.291651602018,1855.459075986977,2055.5635011441645,3397.86050266779,2225.334505736654,0.0,2908.3030456218644,,,,,,,,,,,,,,,,,,
P1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.4889999999999999,0.7882050000000049,0.0004695381699960205,0.0004695381699960205,All,All,0.0,0.0,0.0,0.0,0.0,11313.720092048716,22985.125609859086,0.0,20634.214261973768,21015.920398009952,9801.598220447238,21556.868619045163,8922.261145309976,9593.678489702517,16064.19545071609,10591.50148845783,0.0,15024.655795048795,,,,,,,,,,,,,,,,,,
P1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.2450000000000001,0.8182349999999872,0.00019486953790013472,0.00019486953790013472,All,All,0.0,0.0,0.0,0.0,0.0,423.171897821724,884.4077464285482,0.0,861.0176651663544,676.6169154228855,375.2367598044254,822.8397293528227,322.2797787030481,350.758009153318,637.9440466161192,383.1640058055153,0.0,567.0411593293416,,,,,,,,,,,,,,,,,,
P1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.4736666666666666,0.38088000000000005,7.949417089896987e-05,7.949417089896987e-05,Some,Some,0.0,0.0,0.0,0.0,0.0,4104.31513675119,0.0,0.0,0.0,5708.080448241276,0.0,3618.6263435962833,0.0,3431.9467871805477,0.0,2439.838033716717,0.0,8557.660332541567,,,,,,,,,,,,,,,,,,
P1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.2960000000000001,0.36202000000002005,2.5277911223115472e-05,2.5277911223115472e-05,Some,Some,0.0,0.0,0.0,0.0,0.0,925.6848632488096,0.0,0.0,0.0,3101.9195517587236,0.0,301.37365640371655,0.0,968.053212819452,0.0,1330.1619662832836,0.0,2442.339667458432,,,,,,,,,,,,,,,,,,
P2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.1640000000000006,0.7929800000000569,0.00039697415801802805,0.00039697415801802805,All,All,8100.0,0.0,0.0,9870.0,0.0,53600.0,70600.0,0.0,64600.0,63200.0,53700.0,61300.0,44100.0,56800.0,56700.0,48800.0,43900.0,60300.0,,,,,,,,,,,,,,,,,,
P3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(13),0.6920000000000002,0.55111500000001,4.313806283422699e-05,4.313806283422699e-05,All,Some,0.0,0.0,0.0,0.0,0.0,5530.0,9340.0,0.0,11200.0,0.0,0.0,0.0,0.0,6600.0,14500.0,4650.0,4450.0,6570.0,,,,,,,,,,,,,,,,,,
P3363,4.414,508.37611,508.37615,0.07868189727762906,C26H54NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(6),0.1589999999999998,0.4482749999999953,0.0006203511659771156,0.0006203511659771156,All,Some,0.0,,,,0.0,10936.708860759492,19800.0,,,,,,,18600.0,0.0,11147.467608951709,0.0,0.0,,,,,,,,,,,,,,,,,,
P3363,4.414,508.37611,508.37615,0.07868189727762906,C26H54NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(9),0.4499999999999993,0.7741300000000138,7.360476806713461e-05,7.360476806713461e-05,All,Some,0.0,,,,0.0,7063.291139240507,0.0,,,,,,,0.0,0.0,4652.532391048292,0.0,20100.0,,,,,,,,,,,,,,,,,,
P3487,4.509,466.32895,466.3292,0.5361019640075901,C23H48NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-18:1,LPE O-18:1(9),0.1719999999999997,0.7624550000000454,0.009667350654301434,0.009667350654301434,All,Some,,,0.0,,0.0,0.0,0.0,0.0,,,222.06692697879794,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
